Run_ID,C,Cost,A,Speciation_Score,Classic_Score,Image_Link
76,0.0,0.25,0.4,1.5016666666666665,1.7011111111111115,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.25\HM_C_0.00_final.png"", ""View Heatmap"")"
77,0.25,0.25,0.4,1.5,1.6444444444444448,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.25\HM_C_0.25_final.png"", ""View Heatmap"")"
78,0.5,0.25,0.4,1.4688888888888887,1.566111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.25\HM_C_0.50_final.png"", ""View Heatmap"")"
79,0.75,0.25,0.4,1.205555555555555,1.2794444444444437,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.25\HM_C_0.75_final.png"", ""View Heatmap"")"
80,1.0,0.25,0.4,1.0599999999999998,1.08,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.25\HM_C_1.00_final.png"", ""View Heatmap"")"
81,0.0,0.5,0.4,1.6416666666666664,2.0533333333333337,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.50\HM_C_0.00_final.png"", ""View Heatmap"")"
82,0.25,0.5,0.4,1.6622222222222225,2.0333333333333345,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.50\HM_C_0.25_final.png"", ""View Heatmap"")"
83,0.5,0.5,0.4,1.6833333333333331,1.8772222222222228,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.50\HM_C_0.50_final.png"", ""View Heatmap"")"
84,0.75,0.5,0.4,1.3477777777777777,1.4877777777777774,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.50\HM_C_0.75_final.png"", ""View Heatmap"")"
86,0.0,0.75,0.4,1.6138888888888885,1.9866666666666666,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.75\HM_C_0.00_final.png"", ""View Heatmap"")"
85,1.0,0.5,0.4,1.0466666666666666,1.0583333333333333,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.50\HM_C_1.00_final.png"", ""View Heatmap"")"
87,0.25,0.75,0.4,1.6566666666666665,2.1150000000000007,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.75\HM_C_0.25_final.png"", ""View Heatmap"")"
88,0.5,0.75,0.4,1.699444444444444,2.088333333333334,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_0.75\HM_C_0.50_final.png"", ""View Heatmap"")"
91,0.0,1.0,0.4,1.1344444444444441,1.1366666666666663,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.40\Cost_1.00\HM_C_0.00_final.png"", ""View Heatmap"")"
